ticker,min_date,max_date,n_years,total_ret,total_inflation,ret_aa,text,text_color
ALPA4.SA,2008-01-02,2022-01-03,14.002739726027396,34.72496049944121,1.2525533934714832,0.2909364118918527,"29,09% ao ano | 3.472,50% total  [01/2008 -> 01/2022]",Acima IPCA
BPAC11.SA,2017-02-24,2022-01-03,4.857534246575343,3.8622705265380963,0.28841190380313364,0.3848306275291582,"38,48% ao ano | 386,23% total  [02/2017 -> 01/2022]",Acima IPCA
CIEL3.SA,2009-06-29,2022-01-03,12.515068493150684,-0.5360138906458816,1.127010563584831,-0.059513596673417934,"-5,95% ao ano | -53,60% total  [06/2009 -> 01/2022]",Abaixo IPCA
CMIG4.SA,2005-01-03,2022-01-03,17,-0.9989760354048937,1.5649648606440305,-0.33298683116828753,"-33,30% ao ano | -99,90% total  [01/2005 -> 01/2022]",Abaixo IPCA
CPFE3.SA,2005-01-03,2022-01-03,17,77.93674694758286,1.5649648606440305,0.29301826670385833,"29,30% ao ano | 7.793,67% total  [01/2005 -> 01/2022]",Acima IPCA
ENEV3.SA,2007-12-14,2022-01-03,14.054794520547945,-0.9262579901305757,1.3529571414036186,-0.16931224287117685,"-16,93% ao ano | -92,63% total  [12/2007 -> 01/2022]",Abaixo IPCA
IRBR3.SA,2017-07-31,2022-01-03,4.427397260273972,-0.6036974721777382,0.28841190380313364,-0.18865083136437033,"-18,87% ao ano | -60,37% total  [07/2017 -> 01/2022]",Abaixo IPCA
LREN3.SA,2005-01-03,2022-01-03,17,11.605871366937881,1.5649648606440305,0.16075237423602284,"16,08% ao ano | 1.160,59% total  [01/2005 -> 01/2022]",Acima IPCA
MGLU3.SA,2011-05-02,2022-01-03,10.673972602739726,24.017497356782272,0.9253163939506153,0.35205898656173007,"35,21% ao ano | 2.401,75% total  [05/2011 -> 01/2022]",Acima IPCA
PCAR3.SA,2005-01-03,2022-01-03,17,-0.37784666462900585,1.5649648606440305,-0.02752976018486797,"-2,75% ao ano | -37,78% total  [01/2005 -> 01/2022]",Abaixo IPCA
RADL3.SA,2005-01-03,2022-01-03,17,490.27483584889575,1.5649648606440305,0.43983659361204497,"43,98% ao ano | 49.027,48% total  [01/2005 -> 01/2022]",Acima IPCA
RENT3.SA,2005-05-23,2022-01-03,16.616438356164384,25.631024665407228,1.5649648606440305,0.21837728363560194,"21,84% ao ano | 2.563,10% total  [05/2005 -> 01/2022]",Acima IPCA
UGPA3.SA,2005-01-03,2022-01-03,17,-0.9999971484843111,1.5649648606440305,-0.5281238947492337,"-52,81% ao ano | -100,00% total  [01/2005 -> 01/2022]",Abaixo IPCA
WEGE3.SA,2005-01-03,2022-01-03,17,37.61216118167869,1.5649648606440305,0.239757408971623,"23,98% ao ano | 3.761,22% total  [01/2005 -> 01/2022]",Acima IPCA
