ref_date,selic,ref_year,period_label
2001-01-02,0.1585,2001-01-01,2001-2004
2001-01-03,0.15789999999999998,2001-01-01,2001-2004
2001-01-04,0.1583,2001-01-01,2001-2004
2001-01-05,0.158,2001-01-01,2001-2004
2001-01-08,0.158,2001-01-01,2001-2004
2001-01-09,0.158,2001-01-01,2001-2004
2001-01-10,0.1566,2001-01-01,2001-2004
2001-01-11,0.1565,2001-01-01,2001-2004
2001-01-12,0.1565,2001-01-01,2001-2004
2001-01-15,0.1565,2001-01-01,2001-2004
2001-01-16,0.1565,2001-01-01,2001-2004
2001-01-17,0.1559,2001-01-01,2001-2004
2001-01-18,0.15310000000000001,2001-01-01,2001-2004
2001-01-19,0.153,2001-01-01,2001-2004
2001-01-22,0.15289999999999998,2001-01-01,2001-2004
2001-01-23,0.1524,2001-01-01,2001-2004
2001-01-24,0.1517,2001-01-01,2001-2004
2001-01-25,0.1516,2001-01-01,2001-2004
2001-01-26,0.1515,2001-01-01,2001-2004
2001-01-29,0.1515,2001-01-01,2001-2004
2001-01-30,0.1514,2001-01-01,2001-2004
2001-01-31,0.1512,2001-01-01,2001-2004
2001-02-01,0.1512,2001-01-01,2001-2004
2001-02-02,0.151,2001-01-01,2001-2004
2001-02-05,0.151,2001-01-01,2001-2004
2001-02-06,0.1515,2001-01-01,2001-2004
2001-02-07,0.1521,2001-01-01,2001-2004
2001-02-08,0.15259999999999999,2001-01-01,2001-2004
2001-02-09,0.1528,2001-01-01,2001-2004
2001-02-12,0.1524,2001-01-01,2001-2004
2001-02-13,0.1515,2001-01-01,2001-2004
2001-02-14,0.1507,2001-01-01,2001-2004
2001-02-15,0.15259999999999999,2001-01-01,2001-2004
2001-02-16,0.1523,2001-01-01,2001-2004
2001-02-19,0.1517,2001-01-01,2001-2004
2001-02-20,0.15310000000000001,2001-01-01,2001-2004
2001-02-21,0.15259999999999999,2001-01-01,2001-2004
2001-02-22,0.15259999999999999,2001-01-01,2001-2004
2001-02-23,0.15289999999999998,2001-01-01,2001-2004
2001-02-28,0.1514,2001-01-01,2001-2004
2001-03-01,0.1512,2001-01-01,2001-2004
2001-03-02,0.15109999999999998,2001-01-01,2001-2004
2001-03-05,0.1517,2001-01-01,2001-2004
2001-03-06,0.1512,2001-01-01,2001-2004
2001-03-07,0.1519,2001-01-01,2001-2004
2001-03-08,0.1521,2001-01-01,2001-2004
2001-03-09,0.15109999999999998,2001-01-01,2001-2004
2001-03-12,0.1509,2001-01-01,2001-2004
2001-03-13,0.15130000000000002,2001-01-01,2001-2004
2001-03-14,0.15130000000000002,2001-01-01,2001-2004
2001-03-15,0.15109999999999998,2001-01-01,2001-2004
2001-03-16,0.1524,2001-01-01,2001-2004
2001-03-19,0.1532,2001-01-01,2001-2004
2001-03-20,0.1535,2001-01-01,2001-2004
2001-03-21,0.1535,2001-01-01,2001-2004
2001-03-22,0.1585,2001-01-01,2001-2004
2001-03-23,0.1585,2001-01-01,2001-2004
2001-03-26,0.1585,2001-01-01,2001-2004
2001-03-27,0.1585,2001-01-01,2001-2004
2001-03-28,0.1585,2001-01-01,2001-2004
2001-03-29,0.15839999999999999,2001-01-01,2001-2004
2001-03-30,0.15839999999999999,2001-01-01,2001-2004
2001-04-02,0.1583,2001-01-01,2001-2004
2001-04-03,0.15810000000000002,2001-01-01,2001-2004
2001-04-04,0.15810000000000002,2001-01-01,2001-2004
2001-04-05,0.1582,2001-01-01,2001-2004
2001-04-06,0.1583,2001-01-01,2001-2004
2001-04-09,0.15810000000000002,2001-01-01,2001-2004
2001-04-10,0.15839999999999999,2001-01-01,2001-2004
2001-04-11,0.1582,2001-01-01,2001-2004
2001-04-12,0.1585,2001-01-01,2001-2004
2001-04-16,0.1585,2001-01-01,2001-2004
2001-04-17,0.1585,2001-01-01,2001-2004
2001-04-18,0.15869999999999998,2001-01-01,2001-2004
2001-04-19,0.1635,2001-01-01,2001-2004
2001-04-20,0.163,2001-01-01,2001-2004
2001-04-23,0.163,2001-01-01,2001-2004
2001-04-24,0.1631,2001-01-01,2001-2004
2001-04-25,0.163,2001-01-01,2001-2004
2001-04-26,0.1631,2001-01-01,2001-2004
