NU_ANO_CENSO,NO_IES,QT_DOC_TOTAL
2020,UNIVERSIDADE FEDERAL DE MATO GROSSO,1756
2020,UNIVERSIDADE FEDERAL DE SERGIPE,1846
2020,UNIVERSIDADE FEDERAL DO AMAZONAS,1778
2020,UNIVERSIDADE FEDERAL DO PIAUÍ,1411
2020,UNIVERSIDADE FEDERAL DE OURO PRETO,910
2020,UNIVERSIDADE FEDERAL DE SÃO CARLOS,1345
2020,UNIVERSIDADE FEDERAL DE VIÇOSA,1289
2020,UNIVERSIDADE FEDERAL DO RIO GRANDE,981
2020,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,2010
2020,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,924
2020,UNIVERSIDADE FEDERAL DO MARANHÃO,1941
2020,UNIVERSIDADE FEDERAL DO ACRE,792
2020,UNIVERSIDADE FEDERAL DO PARÁ,2670
2020,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,2569
2020,UNIVERSIDADE FEDERAL DO PARANÁ,2563
2020,UNIVERSIDADE FEDERAL FLUMINENSE,3439
2020,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,1846
2020,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,1255
2020,UNIVERSIDADE FEDERAL DE MINAS GERAIS,3308
2020,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,1710
2020,UNIVERSIDADE FEDERAL DE ALAGOAS,1739
2020,UNIVERSIDADE FEDERAL DA BAHIA,2979
2020,UNIVERSIDADE FEDERAL DA PARAÍBA,2798
2020,UNIVERSIDADE FEDERAL DE PERNAMBUCO,2761
2020,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,2851
2020,UNIVERSIDADE FEDERAL DE SANTA MARIA,2350
2020,UNIVERSIDADE FEDERAL DO CEARÁ,2386
2020,UNIVERSIDADE FEDERAL DE GOIÁS,2277
2020,UNIVERSIDADE FEDERAL DE SANTA CATARINA,2596
2020,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,4949
2020,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,1141
2020,UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,758
2020,UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,579
2020,UNIVERSIDADE FEDERAL DE SÃO PAULO,1778
2020,UNIVERSIDADE FEDERAL DE LAVRAS,814
2020,UNIVERSIDADE FEDERAL DE ALFENAS,593
2020,UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,907
2020,UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO,642
2020,UNIVERSIDADE FEDERAL DE ITAJUBÁ - UNIFEI,502
2020,UNIVERSIDADE FEDERAL DE PELOTAS,1605
2020,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,937
2020,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,1765
2020,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA,848
2020,FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE,372
2020,UNIVERSIDADE FEDERAL DE RORAIMA,608
2020,UNIVERSIDADE FEDERAL DO AMAPÁ,663
2020,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,1648
2020,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,1231
2020,FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,591
2020,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,1026
2020,FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,682
2020,FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC,815
2020,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA - UNIPAMPA,957
2020,UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA,471
2020,UNIVERSIDADE FEDERAL DO OESTE DO PARÁ,480
2020,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,825
2020,UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ,490
2020,UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,383
2020,UNIVERSIDADE FEDERAL DO CARIRI,355
2020,UNIVERSIDADE FEDERAL DO SUL DA BAHIA,336
2020,UNIVERSIDADE FEDERAL DE CATALÃO,345
2020,UNIVERSIDADE FEDERAL DO AGRESTE DE PERNAMBUCO,179
2020,UNIVERSIDADE FEDERAL DO DELTA DO PARNAIBA,237
2020,UNIVERSIDADE FEDERAL DE JATAÍ,386
