NU_ANO_CENSO,NO_IES,QT_DOC_TOTAL
2020,UNIVERSIDADE FEDERAL DE MATO GROSSO,1756
2020,UNIVERSIDADE DE BRASÍLIA,2958
2020,UNIVERSIDADE FEDERAL DE SERGIPE,1846
2020,UNIVERSIDADE FEDERAL DO AMAZONAS,1778
2020,UNIVERSIDADE FEDERAL DO PIAUÍ,1411
2020,UNIVERSIDADE FEDERAL DE OURO PRETO,910
2020,UNIVERSIDADE FEDERAL DE SÃO CARLOS,1345
2020,UNIVERSIDADE FEDERAL DE VIÇOSA,1289
2020,UNIVERSIDADE ESTADUAL DE LONDRINA,1801
2020,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,1339
2020,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,526
2020,UNIVERSIDADE FEDERAL DO RIO GRANDE,981
2020,UNIVERSIDADE DE CAXIAS DO SUL,834
2020,UNIVERSIDADE DO VALE DO RIO DOS SINOS,966
2020,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,2010
2020,UNIVERSIDADE CATÓLICA DE PELOTAS,292
2020,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,772
2020,UNIVERSIDADE DE PASSO FUNDO,756
2020,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,1018
2020,UNIVERSIDADE PRESBITERIANA MACKENZIE,1102
2020,UNIVERSIDADE FEEVALE,496
2020,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,766
2020,UNIVERSIDADE ESTADUAL DO CEARÁ,1196
2020,UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO,346
2020,UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL,274
2020,FACULDADE DE TECNOLOGIA DE SÃO PAULO,453
2020,UNIVERSIDADE DO ESTADO DA BAHIA,1696
2020,FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,1193
2020,UNIVERSIDADE ESTADUAL DE GOIÁS,1302
2020,UNIVERSIDADE ESTADUAL DE CAMPINAS,1858
2020,UNIVERSIDADE DE SÃO PAULO,5954
2020,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,2925
2020,UNIVERSIDADE ESTADUAL DE MARINGÁ,1700
2020,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,918
2020,UNIVERSIDADE REGIONAL DE BLUMENAU,637
2020,UNIVERSIDADE DA REGIÃO DE JOINVILLE,542
2020,UNIVERSIDADE DO OESTE DE SANTA CATARINA,692
2020,UNIVERSIDADE DO VALE DO ITAJAÍ,1117
2020,UNIVERSIDADE ESTADUAL VALE DO ACARAÚ,450
2020,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,924
2020,UNIVERSIDADE DE ARARAQUARA,434
2020,CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ,326
2020,UNIVERSIDADE DE VASSOURAS,286
2020,UNIVERSIDADE DE UBERABA,667
2020,CENTRO UNIVERSITÁRIO DE RIO PRETO,336
2020,FACULDADE DE MEDICINA DE SÃO JOSÉ DO RIO PRETO,264
2020,UNIVERSIDADE DE SOROCABA,421
2020,UNIVERSIDADE ESTÁCIO DE SÁ,2663
2020,UNIVERSIDADE VEIGA DE ALMEIDA,594
2020,UNIVERSIDADE METODISTA DE SÃO PAULO,348
2020,UNIVERSIDADE CASTELO BRANCO,254
2020,ESCOLA DE MEDICINA SOUZA MARQUES DA FUNDAÇÃO TÉCNICO-EDUCACIONAL SOUZA MARQUES,254
2020,UNIVERSIDADE SÃO JUDAS TADEU,920
2020,UNIVERSIDADE DE RIBEIRÃO PRETO,502
2020,UNIVERSIDADE CRUZEIRO DO SUL,638
2020,Centro Universitário FMABC,318
2020,UNIVERSIDADE CATÓLICA DE SANTOS,294
2020,UNIVERSIDADE DO OESTE PAULISTA,690
2020,UNIVERSIDADE DO VALE DO PARAÍBA,314
2020,CENTRO UNIVERSITÁRIO AUGUSTO MOTTA,558
2020,UNIVERSIDADE DE SANTA CRUZ DO SUL,477
2020,UNIVERSIDADE PITÁGORAS UNOPAR,573
2020,CENTRO UNIVERSITÁRIO PRESIDENTE ANTÔNIO CARLOS,270
2020,UNIVERSIDADE NOVE DE JULHO,2185
2020,UNIVERSIDADE BRASIL,482
2020,UNIVERSIDADE PAULISTA,5456
2020,UNIVERSIDADE IGUAÇU,803
2020,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,2124
2020,CENTRO UNIVERSITÁRIO NEWTON PAIVA,267
2020,CENTRO UNIVERSITÁRIO UNA,643
2020,CENTRO UNIVERSITÁRIO DE BELO HORIZONTE,413
2020,FACULDADE DE CIÊNCIAS MÉDICAS DE MINAS GERAIS,382
2020,CENTRO UNIVERSITÁRIO DE JOÃO PESSOA,417
2020,UNIVERSIDADE TUIUTI DO PARANÁ,377
2020,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,955
2020,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS,778
2020,UNIVERSIDADE SANTO AMARO,564
2020,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,466
2020,UNIVERSIDADE DA AMAZÔNIA,649
2020,CENTRO UNIVERSITÁRIO DE ANÁPOLIS,456
2020,UNIVERSIDADE SALVADOR,588
2020,UNIVERSIDADE CATÓLICA DOM BOSCO,289
2020,UNIVERSIDADE TIRADENTES,832
2020,CENTRO UNIVERSITÁRIO DE BRASÍLIA,688
2020,UNIVERSIDADE CATÓLICA DE BRASÍLIA,445
2020,UNIVERSIDADE DE PERNAMBUCO,1127
2020,FACULDADE DE CIÊNCIAS MÉDICAS DA SANTA CASA SÃO PAULO,440
2020,UNIVERSIDADE CIDADE DE SÃO PAULO,481
2020,UNIVERSIDADE DE MARÍLIA,282
2020,UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES,855
2020,UNIVERSIDADE FRANCISCANA,442
2020,CENTRO UNIVERSITÁRIO FILADÉLFIA,419
2020,FACULDADE SANTA MARCELINA,280
2020,UNIVERSIDADE PARANAENSE,646
2020,UNIVERSIDADE DO CONTESTADO,273
2020,CENTRO UNIVERSITÁRIO RITTER DOS REIS,270
2020,UNIVERSIDADE LUTERANA DO BRASIL,810
2020,UNIVERSIDADE ANHANGUERA DE SÃO PAULO,607
2020,FACULDADE ARMANDO ALVARES PENTEADO,364
2020,UNIVERSIDADE ANHEMBI MORUMBI,877
2020,UNIVERSIDADE DO GRANDE RIO PROFESSOR JOSÉ DE SOUZA HERDY,545
2020,FACULDADE DE MEDICINA DE PETRÓPOLIS,349
2020,CENTRO UNIVERSITÁRIO SERRA DOS ÓRGÃOS,432
2020,Universidade Universus Veritas Guarulhos,452
2020,UNIVERSIDADE DO EXTREMO SUL CATARINENSE,687
2020,CENTRO UNIVERSITÁRIO DE VOLTA REDONDA,323
2020,UNIVERSIDADE DO SUL DE SANTA CATARINA,1036
2020,UNIVERSIDADE DE FRANCA,412
2020,CENTRO UNIVERSITÁRIO SÃO JUDAS TADEU,304
2020,UNIVERSIDADE VALE DO RIO DOCE,328
2020,CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL,289
2020,UNIVERSIDADE CATÓLICA DO SALVADOR,319
2020,UNIVERSIDADE DE MOGI DAS CRUZES,769
2020,CENTRO UNIVERSITÁRIO BRAZ CUBAS,335
2020,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE GOIÁS,1330
2020,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,1270
2020,UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL,422
2020,ESCOLA BAHIANA DE MEDICINA E SAÚDE PÚBLICA,526
2020,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,1336
2020,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,2654
2020,UNIVERSIDADE FEDERAL DO MARANHÃO,1941
2020,UNIVERSIDADE FEDERAL DO ACRE,792
2020,UNIVERSIDADE ESTADUAL DA PARAÍBA,1080
2020,UNIVERSIDADE DE FORTALEZA,1117
2020,UNIVERSIDADE ESTADUAL DO MARANHÃO,1374
2020,UNIVERSIDADE FEDERAL DO PARÁ,2670
2020,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,2569
2020,UNIVERSIDADE FEDERAL DO PARANÁ,2563
2020,UNIVERSIDADE FEDERAL FLUMINENSE,3439
2020,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,1846
2020,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,1255
2020,UNIVERSIDADE FEDERAL DE MINAS GERAIS,3308
2020,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,1710
2020,UNIVERSIDADE FEDERAL DE ALAGOAS,1739
2020,UNIVERSIDADE FEDERAL DA BAHIA,2979
2020,UNIVERSIDADE FEDERAL DA PARAÍBA,2798
2020,UNIVERSIDADE FEDERAL DE PERNAMBUCO,2761
2020,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,2851
2020,UNIVERSIDADE FEDERAL DE SANTA MARIA,2350
2020,UNIVERSIDADE FEDERAL DO CEARÁ,2386
2020,UNIVERSIDADE FEDERAL DE GOIÁS,2277
2020,UNIVERSIDADE FEDERAL DE SANTA CATARINA,2596
2020,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,4949
2020,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,1141
2020,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,2703
2020,UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,758
2020,UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,579
2020,UNIVERSIDADE FEDERAL DE SÃO PAULO,1778
2020,UNIVERSIDADE FEDERAL DE LAVRAS,814
2020,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA,659
2020,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS,910
2020,UNIVERSIDADE FEDERAL DE ALFENAS,593
2020,UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,907
2020,UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO,642
2020,UNIVERSIDADE FEDERAL DE ITAJUBÁ - UNIFEI,502
2020,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA",873
2020,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL",933
2020,UNIVERSIDADE MUNICIPAL DE SÃO CAETANO DO SUL,607
2020,UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ,1276
2020,CENTRO UNIVERSITÁRIO CESMAC,616
2020,UNIVERSIDADE FEDERAL DE PELOTAS,1605
2020,UNIVERSIDADE SALGADO DE OLIVEIRA,970
2020,UNIVERSIDADE VILA VELHA,363
2020,UNIVERSIDADE DE TAUBATÉ,530
2020,UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,870
2020,UNIVERSIDADE NILTON LINS,394
2020,UNIVERSIDADE SÃO FRANCISCO,593
2020,UNIVERSIDADE ANHANGUERA,570
2020,CENTRO UNIVERSITÁRIO DA GRANDE DOURADOS,410
2020,UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA,1059
2020,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,937
2020,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,1765
2020,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA,848
2020,CENTRO UNIVERSITÁRIO CENTRAL PAULISTA,296
2020,FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE,372
2020,UNIVERSIDADE POTIGUAR,557
2020,Universidade do Estado de Mato Grosso Carlos Alberto Reyes Maldonado - UNEMAT,2133
2020,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,962
2020,CENTRO UNIVERSITÁRIO SÃO CAMILO,322
2020,UNIVERSIDADE REGIONAL DO CARIRI,539
2020,UNIVERSIDADE DE GURUPI,274
2020,UNIVERSIDADE ESTADUAL DO PIAUÍ,1181
2020,UNIVERSIDADE DE CUIABÁ,517
2020,UNIVERSIDADE FEDERAL DE RORAIMA,608
2020,CENTRO UNIVERSITÁRIO DO ESTADO DO PARÁ,356
2020,CENTRO UNIVERSITÁRIO DE VÁRZEA GRANDE,417
2020,UNIVERSIDADE CEUMA,706
2020,UNIVERSIDADE FEDERAL DO AMAPÁ,663
2020,UNIVERSIDADE SANTA CECÍLIA,446
2020,UNIVERSIDADE METROPOLITANA DE SANTOS,406
2020,UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO,302
2020,UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL,704
2020,CENTRO UNIVERSITÁRIO SALESIANO DE SÃO PAULO,357
2020,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,1489
2020,UNIVERSIDADE DO VALE DO TAQUARI,357
2020,UNIVERSIDADE POSITIVO,684
2020,CENTRO UNIVERSITÁRIO DA FUNDAÇÃO HERMINIO OMETTO,359
2020,UNIÃO DAS FACULDADES DOS GRANDES LAGOS,304
2020,Centro Universitário Estácio da Bahia,265
2020,CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB,432
2020,CENTRO UNIVERSITÁRIO - UNIESP,334
2020,CENTRO UNIVERSITÁRIO ARTHUR SÁ EARP NETO,349
